lakename,year4,daynum,sampledate,depth,depth_id,doc,DIC_uM,DIC_mg,air_pco2,water_pco2,tpc,tpn
"West Long Lake",1992,252,1992-09-08,0,1,,,0.507,,,,
"West Long Lake",1992,252,1992-09-08,0.9,2,,,0.512,,,,
"West Long Lake",1992,252,1992-09-08,1.6,3,,,0.557,,,,
"West Long Lake",1992,252,1992-09-08,2.7,4,,,0.563,,,,
"West Long Lake",1992,252,1992-09-08,3.7,5,,,0.563,,,,
"West Long Lake",1992,252,1992-09-08,5.2,6,,,1.481,,,,
"West Long Lake",1992,255,1992-09-11,0,1,,,,862.84,316.42,,
"West Long Lake",1993,138,1993-05-18,"Metalimnion",-2,5.5,,,,,0.57,0.06
"West Long Lake",1993,138,1993-05-18,"Epilimnion",-1,5.87,,,,,0.82,0.09
"West Long Lake",1993,138,1993-05-18,0,1,,,0.599,,,,
"West Long Lake",1993,138,1993-05-18,1.1,2,,,0.648,,,,
"West Long Lake",1993,138,1993-05-18,2.1,3,,,0.688,,,,
"West Long Lake",1993,138,1993-05-18,3.4,4,,,0.701,,,,
"West Long Lake",1993,138,1993-05-18,4.2,5,,,1.071,,,,
"West Long Lake",1993,138,1993-05-18,5.5,6,,,1.893,,,,
"West Long Lake",1993,141,1993-05-21,0,1,,,,421.44,343.57,,
"West Long Lake",1993,145,1993-05-25,0,1,,,0.527,,,,
"West Long Lake",1993,145,1993-05-25,0.8,2,,,0.572,,,,
"West Long Lake",1993,145,1993-05-25,2.9,4,,,0.573,,,,
"West Long Lake",1993,145,1993-05-25,3.5,5,,,0.582,,,,
"West Long Lake",1993,145,1993-05-25,1.6,3,,,0.648,,,,
"West Long Lake",1993,145,1993-05-25,5.1,6,,,2.117,,,,
"West Long Lake",1993,148,1993-05-28,0,1,,,,281.39,338.28,,
"West Long Lake",1993,152,1993-06-01,"Epilimnion",-1,5.76,,,,,1.1,0.14
"West Long Lake",1993,152,1993-06-01,"Metalimnion",-2,5.87,,,,,0.72,0.07
"West Long Lake",1993,152,1993-06-01,0.7,2,,,0.401,,,,
"West Long Lake",1993,152,1993-06-01,1.3,3,,,0.42,,,,
"West Long Lake",1993,152,1993-06-01,2.6,4,,,0.424,,,,
"West Long Lake",1993,152,1993-06-01,0,1,,,0.435,,,,
"West Long Lake",1993,152,1993-06-01,3.2,5,,,0.445,,,,
"West Long Lake",1993,152,1993-06-01,4.9,6,,,0.79,,,,
"West Long Lake",1993,155,1993-06-04,0,1,,,,110.24,317.4,,
"West Long Lake",1993,159,1993-06-08,1.45,3,,,0.29,,,,
"West Long Lake",1993,159,1993-06-08,0.5,2,,,0.326,,,,
"West Long Lake",1993,159,1993-06-08,2.75,4,,,0.335,,,,
"West Long Lake",1993,159,1993-06-08,0,1,,,0.362,,,,
"West Long Lake",1993,159,1993-06-08,3.75,5,,,0.42,,,,
"West Long Lake",1993,159,1993-06-08,5.3,6,,,2.158,,,,
"West Long Lake",1993,162,1993-06-11,0,1,,,,95.85,305.19,,
"West Long Lake",1993,166,1993-06-15,"Metalimnion",-2,5.93,,,,,0.62,0.07
"West Long Lake",1993,166,1993-06-15,"Epilimnion",-1,6.16,,,,,0.38,0.03
"West Long Lake",1993,166,1993-06-15,3.2,4,,,0.348,,,,
"West Long Lake",1993,166,1993-06-15,1.7,3,,,0.371,,,,
"West Long Lake",1993,166,1993-06-15,0.8,2,,,0.406,,,,
"West Long Lake",1993,166,1993-06-15,0,1,,,0.416,,,,
"West Long Lake",1993,166,1993-06-15,4.1,5,,,1.172,,,,
"West Long Lake",1993,166,1993-06-15,5.6,6,,,1.594,,,,
"West Long Lake",1993,169,1993-06-18,0,1,,,,601.59,370.38,,
"West Long Lake",1993,173,1993-06-22,0.7,2,,,0.454,,,,
"West Long Lake",1993,173,1993-06-22,0,1,,,0.463,,,,
"West Long Lake",1993,173,1993-06-22,2.7,4,,,0.471,,,,
"West Long Lake",1993,173,1993-06-22,1.4,3,,,0.488,,,,
"West Long Lake",1993,173,1993-06-22,3.6,5,,,0.677,,,,
"West Long Lake",1993,173,1993-06-22,5.6,6,,,1.762,,,,
"West Long Lake",1993,176,1993-06-25,0,1,,,,157.04,319.23,,
"West Long Lake",1993,180,1993-06-29,"Metalimnion",-2,5.94,,,,,,
"West Long Lake",1993,180,1993-06-29,"Epilimnion",-1,6.72,,,,,,
"West Long Lake",1993,180,1993-06-29,0.6,2,,,0.262,,,,
"West Long Lake",1993,180,1993-06-29,0,1,,,0.273,,,,
"West Long Lake",1993,180,1993-06-29,2.3,4,,,0.33,,,,
"West Long Lake",1993,180,1993-06-29,1.4,3,,,0.331,,,,
"West Long Lake",1993,180,1993-06-29,3,5,,,0.335,,,,
"West Long Lake",1993,180,1993-06-29,4.6,6,,,0.887,,,,
"West Long Lake",1993,183,1993-07-02,0,1,,,,303.67,301.52,,
"West Long Lake",1993,187,1993-07-06,1.4,3,,,0.445,,,,
"West Long Lake",1993,187,1993-07-06,0,1,,,0.478,,,,
"West Long Lake",1993,187,1993-07-06,0.6,2,,,0.486,,,,
"West Long Lake",1993,187,1993-07-06,2.3,4,,,0.504,,,,
"West Long Lake",1993,187,1993-07-06,3.3,5,,,0.559,,,,
"West Long Lake",1993,187,1993-07-06,4.9,6,,,1.41,,,,
"West Long Lake",1993,190,1993-07-09,0,1,,,,362.84,324.99,,
"West Long Lake",1993,194,1993-07-13,"Metalimnion",-2,6.45,,,,,1.15,0.14
"West Long Lake",1993,194,1993-07-13,"Epilimnion",-1,7.39,,,,,0.6,0.07
"West Long Lake",1993,194,1993-07-13,1.4,3,,,0.245,,,,
"West Long Lake",1993,194,1993-07-13,0,1,,,0.249,,,,
"West Long Lake",1993,194,1993-07-13,0.7,2,,,0.253,,,,
"West Long Lake",1993,194,1993-07-13,2.4,4,,,0.302,,,,
"West Long Lake",1993,194,1993-07-13,3.3,5,,,0.434,,,,
"West Long Lake",1993,194,1993-07-13,5.3,6,,,2.023,,,,
"West Long Lake",1993,197,1993-07-16,0,1,,,,269.44,294.7,,
"West Long Lake",1993,201,1993-07-20,1.3,3,,,0.368,,,,
"West Long Lake",1993,201,1993-07-20,0,1,,,0.4,,,,
"West Long Lake",1993,201,1993-07-20,0.6,2,,,0.404,,,,
"West Long Lake",1993,201,1993-07-20,2.25,4,,,0.459,,,,
"West Long Lake",1993,201,1993-07-20,3.1,5,,,0.66,,,,
"West Long Lake",1993,201,1993-07-20,4.9,6,,,1.393,,,,
"West Long Lake",1993,204,1993-07-23,0,1,,,,203.86,326.71,,
"West Long Lake",1993,208,1993-07-27,0,1,,,0.186,,,,
"West Long Lake",1993,208,1993-07-27,0.6,2,,,0.207,,,,
"West Long Lake",1993,208,1993-07-27,2.25,4,,,0.266,,,,
"West Long Lake",1993,208,1993-07-27,1.25,3,,,0.282,,,,
"West Long Lake",1993,208,1993-07-27,3.1,5,,,0.471,,,,
"West Long Lake",1993,208,1993-07-27,5.1,6,,,2.266,,,,
"West Long Lake",1993,209,1993-07-28,"Metalimnion",-2,6.68,,,,,0.51,0.07
"West Long Lake",1993,209,1993-07-28,"Epilimnion",-1,6.75,,,,,0.88,0.13
"West Long Lake",1993,211,1993-07-30,0,1,,,,114.72,313.13,,
"West Long Lake",1993,215,1993-08-03,0,1,,,0.199,,,,
"West Long Lake",1993,215,1993-08-03,0.3,2,,,0.201,,,,
"West Long Lake",1993,215,1993-08-03,1.6,4,,,0.219,,,,
"West Long Lake",1993,215,1993-08-03,0.9,3,,,0.26,,,,
"West Long Lake",1993,215,1993-08-03,2.7,5,,,0.287,,,,
"West Long Lake",1993,215,1993-08-03,4.8,6,,,1.365,,,,
"West Long Lake",1993,218,1993-08-06,0,1,,,,203.31,325,,
"West Long Lake",1993,222,1993-08-10,0.6,2,,,0.289,,,,
"West Long Lake",1993,222,1993-08-10,0,1,,,0.306,,,,
"West Long Lake",1993,222,1993-08-10,1.4,3,,,0.314,,,,
"West Long Lake",1993,222,1993-08-10,3.1,5,,,0.385,,,,
"West Long Lake",1993,222,1993-08-10,2.2,4,,,0.435,,,,
"West Long Lake",1993,222,1993-08-10,4.9,6,,,2.085,,,,
"West Long Lake",1993,223,1993-08-11,"Metalimnion",-2,6.24,,,,,1.07,0.11
"West Long Lake",1993,223,1993-08-11,"Epilimnion",-1,6.72,,,,,0.7,0.1
"West Long Lake",1993,225,1993-08-13,0,1,,,,309,325,,
"West Long Lake",1993,229,1993-08-17,1.5,3,,,0.423,,,,
"West Long Lake",1993,229,1993-08-17,0.7,2,,,0.435,,,,
"West Long Lake",1993,229,1993-08-17,2.9,4,,,0.458,,,,
"West Long Lake",1993,229,1993-08-17,0,1,,,0.475,,,,
"West Long Lake",1993,229,1993-08-17,3.9,5,,,1.59,,,,
"West Long Lake",1993,229,1993-08-17,5.4,6,,,4.345,,,,
"West Long Lake",1993,232,1993-08-20,0,1,,,,554.15,365.13,,
"West Long Lake",1993,236,1993-08-24,0.7,2,,,0.386,,,,
"West Long Lake",1993,236,1993-08-24,1.5,3,,,0.389,,,,
"West Long Lake",1993,236,1993-08-24,0,1,,,0.395,,,,
"West Long Lake",1993,236,1993-08-24,2.6,4,,,0.409,,,,
"West Long Lake",1993,236,1993-08-24,3.5,5,,,0.605,,,,
"West Long Lake",1993,236,1993-08-24,5.4,6,,,2.647,,,,
"West Long Lake",1993,237,1993-08-25,"Metalimnion",-2,5.69,,,,,0.88,0.08
"West Long Lake",1993,237,1993-08-25,"Epilimnion",-1,6.8,,,,,1.15,0.18
"West Long Lake",1993,239,1993-08-27,0,1,,,,193.38,313.75,,
"West Long Lake",1993,242,1993-08-30,0,1,,,0.401,,,,
"West Long Lake",1993,242,1993-08-30,1.15,3,,,0.458,,,,
"West Long Lake",1993,242,1993-08-30,2,4,,,0.467,,,,
"West Long Lake",1993,242,1993-08-30,2.9,5,,,0.475,,,,
"West Long Lake",1993,242,1993-08-30,0.55,2,,,0.658,,,,
"West Long Lake",1993,242,1993-08-30,4.8,6,,,3.303,,,,
"West Long Lake",1993,246,1993-09-03,0,1,,,,62.21,292.26,,
"West Long Lake",1993,249,1993-09-06,0,1,,,0.362,,,,
"West Long Lake",1993,249,1993-09-06,0.75,3,,,0.403,,,,
"West Long Lake",1993,249,1993-09-06,0.4,2,,,0.421,,,,
"West Long Lake",1993,249,1993-09-06,2.3,6,,,0.493,,,,
"West Long Lake",1993,249,1993-09-06,1.6,5,,,0.551,,,,
"West Long Lake",1993,249,1993-09-06,1.2,4,,,0.552,,,,
"West Long Lake",1993,251,1993-09-08,"Metalimnion",-2,6.36,,,,,1.65,0.13
"West Long Lake",1993,251,1993-09-08,"Epilimnion",-1,6.81,,,,,1.11,0.18
"West Long Lake",1993,251,1993-09-08,0,1,,,,58.35,344.78,,
"West Long Lake",1994,137,1994-05-17,"Epilimnion",-1,6.9,,,,,1.15,0.14
"West Long Lake",1994,137,1994-05-17,"Metalimnion",-2,9.33,,,,,2.1,0.25
"West Long Lake",1994,144,1994-05-24,3.45,5,,,0.26,,,,
"West Long Lake",1994,144,1994-05-24,5.2,6,,,0.26,,,,
"West Long Lake",1994,144,1994-05-24,2.8,4,,,0.29,,,,
"West Long Lake",1994,144,1994-05-24,0.8,2,,,0.39,,,,
"West Long Lake",1994,144,1994-05-24,1.4,3,,,0.42,,,,
"West Long Lake",1994,144,1994-05-24,0,1,,,0.47,,,,
"West Long Lake",1994,151,1994-05-31,"Metalimnion",-2,6.95,,,,,1.17,0.14
"West Long Lake",1994,151,1994-05-31,"Epilimnion",-1,7.41,,,,,0.72,0.1
"West Long Lake",1994,151,1994-05-31,4.1,5,,,0.25,,,,
"West Long Lake",1994,151,1994-05-31,3.4,4,,,0.27,,,,
"West Long Lake",1994,151,1994-05-31,5.1,6,,,0.29,,,,
"West Long Lake",1994,151,1994-05-31,1.9,3,,,0.4,,,,
"West Long Lake",1994,151,1994-05-31,1.25,2,,,0.43,,,,
"West Long Lake",1994,151,1994-05-31,0,1,,,0.47,,,,
"West Long Lake",1994,154,1994-06-03,0,1,,,,551.95,336.21,,
"West Long Lake",1994,158,1994-06-07,4.5,5,,,0.4,,,,
"West Long Lake",1994,158,1994-06-07,3.4,4,,,0.49,,,,
"West Long Lake",1994,158,1994-06-07,0,1,,,0.53,,,,
"West Long Lake",1994,158,1994-06-07,0.8,2,,,0.55,,,,
"West Long Lake",1994,158,1994-06-07,1.8,3,,,0.59,,,,
"West Long Lake",1994,158,1994-06-07,5.7,6,,,2.2,,,,
"West Long Lake",1994,161,1994-06-10,0,1,,,,450.36,278.17,,
"West Long Lake",1994,165,1994-06-14,"Epilimnion",-1,6.32,,,,,0.64,0.07
"West Long Lake",1994,165,1994-06-14,"Metalimnion",-2,6.82,,,,,0.42,0.03
"West Long Lake",1994,165,1994-06-14,1.5,3,,,0.35,,,,
"West Long Lake",1994,165,1994-06-14,0,1,,,0.36,,,,
"West Long Lake",1994,165,1994-06-14,0.75,2,,,0.36,,,,
"West Long Lake",1994,165,1994-06-14,3,4,,,0.4,,,,
"West Long Lake",1994,165,1994-06-14,4.1,5,,,0.41,,,,
"West Long Lake",1994,165,1994-06-14,6,6,,,2.12,,,,
"West Long Lake",1994,168,1994-06-17,0,1,,,,101.8,325.09,,
"West Long Lake",1994,172,1994-06-21,1.3,3,,,0.2,,,,
"West Long Lake",1994,172,1994-06-21,0,1,,,0.22,,,,
"West Long Lake",1994,172,1994-06-21,0.8,2,,,0.22,,,,
"West Long Lake",1994,172,1994-06-21,2.3,4,,,0.24,,,,
"West Long Lake",1994,172,1994-06-21,3,5,,,0.29,,,,
"West Long Lake",1994,172,1994-06-21,4.9,6,,,0.55,,,,
"West Long Lake",1994,175,1994-06-24,0,1,,,,96.29,307.05,,
"West Long Lake",1994,179,1994-06-28,"Metalimnion",-2,6.44,,,,,1.07,0.13
"West Long Lake",1994,179,1994-06-28,"Epilimnion",-1,8.64,,,,,1.54,0.26
"West Long Lake",1994,179,1994-06-28,1.4,3,,,0.29,,,,
"West Long Lake",1994,179,1994-06-28,0.75,2,,,0.3,,,,
"West Long Lake",1994,179,1994-06-28,2.1,4,,,0.31,,,,
"West Long Lake",1994,179,1994-06-28,0,1,,,0.32,,,,
"West Long Lake",1994,179,1994-06-28,2.9,5,,,0.32,,,,
"West Long Lake",1994,179,1994-06-28,4.75,6,,,0.91,,,,
"West Long Lake",1994,182,1994-07-01,0,1,,,,46.96,246.74,,
"West Long Lake",1994,186,1994-07-05,0,1,,,0.36,,,,
"West Long Lake",1994,186,1994-07-05,0.7,2,,,0.37,,,,
"West Long Lake",1994,186,1994-07-05,1.9,4,,,0.37,,,,
"West Long Lake",1994,186,1994-07-05,1.2,3,,,0.39,,,,
"West Long Lake",1994,186,1994-07-05,2.55,5,,,0.39,,,,
"West Long Lake",1994,186,1994-07-05,4.3,6,,,0.74,,,,
"West Long Lake",1994,189,1994-07-08,0,1,,,,178.82,329.89,,
"West Long Lake",1994,193,1994-07-12,"Epilimnion",-1,7.04,,,,,1.46,0.21
"West Long Lake",1994,193,1994-07-12,"Metalimnion",-2,9.5,,,,,1.15,0.16
"West Long Lake",1994,193,1994-07-12,0,1,,,0.34,,,,
"West Long Lake",1994,193,1994-07-12,0.8,2,,,0.36,,,,
"West Long Lake",1994,193,1994-07-12,1.5,3,,,0.36,,,,
"West Long Lake",1994,193,1994-07-12,3,5,,,0.38,,,,
"West Long Lake",1994,193,1994-07-12,2.5,4,,,0.42,,,,
"West Long Lake",1994,193,1994-07-12,4.7,6,,,1.53,,,,
"West Long Lake",1994,196,1994-07-15,0,1,,,,147.55,253.42,,
"West Long Lake",1994,200,1994-07-19,0.7,2,,,0.27,,,,
"West Long Lake",1994,200,1994-07-19,0,1,,,0.28,,,,
"West Long Lake",1994,200,1994-07-19,1.55,3,,,0.28,,,,
"West Long Lake",1994,200,1994-07-19,2.55,4,,,0.31,,,,
"West Long Lake",1994,200,1994-07-19,3.3,5,,,0.6,,,,
"West Long Lake",1994,200,1994-07-19,5.1,6,,,1.81,,,,
"West Long Lake",1994,203,1994-07-22,0,1,,,,172.39,311.71,,
"West Long Lake",1994,207,1994-07-26,"Metalimnion",-2,8.5,,,,,1.24,0.21
"West Long Lake",1994,207,1994-07-26,"Epilimnion",-1,10.07,,,,,1.19,0.22
"West Long Lake",1994,207,1994-07-26,0.96,3,,,0.26,,,,
"West Long Lake",1994,207,1994-07-26,0,1,,,0.27,,,,
"West Long Lake",1994,207,1994-07-26,0.4,2,,,0.27,,,,
"West Long Lake",1994,207,1994-07-26,1.9,4,,,0.28,,,,
"West Long Lake",1994,207,1994-07-26,2.56,5,,,0.82,,,,
"West Long Lake",1994,207,1994-07-26,4.2,6,,,1.79,,,,
"West Long Lake",1994,210,1994-07-29,0,1,,,,33.37,311.77,,
"West Long Lake",1994,214,1994-08-02,0.5,2,,,0.15,,,,
"West Long Lake",1994,214,1994-08-02,1.1,3,,,0.15,,,,
"West Long Lake",1994,214,1994-08-02,0,1,,,0.17,,,,
"West Long Lake",1994,214,1994-08-02,1.8,4,,,0.18,,,,
"West Long Lake",1994,214,1994-08-02,2.5,5,,,0.22,,,,
"West Long Lake",1994,214,1994-08-02,4.3,6,,,1.86,,,,
